,ID_hecho,FECHA,ROL,VEHICULO_FALLECIDO,SEXO,EDAD,N_VICTIMAS,HORA_HECHO,TIPO_DE_CALLE,COMUNA,LONGITUD,LATITUD,PARTICIPANTES,VICTIMA,ACUSADO
377,2018-0088,2018-08-17,CONDUCTOR,MOTO,MASCULINO,42,1,16,GRAL PAZ,12,-58.5007381,-34.5497951,MOTO-CARGAS,MOTO,CARGAS
378,2018-0089,2018-08-17,PEATON,PEATON,MASCULINO,80,1,17,AVENIDA,4,-58.39626094,-34.63036565,PEATON-PASAJEROS,PEATON,PASAJEROS
379,2018-0090,2018-08-18,CONDUCTOR,MOTO,MASCULINO,27,1,10,AVENIDA,8,-58.43284809,-34.67051543,MOTO-AUTO,MOTO,AUTO
380,2018-0091,2018-08-19,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,23,1,18,AUTOPISTA,9,-58.52280139,-34.63659934,AUTO-AUTO,AUTO,AUTO
381,2018-0092,2018-08-20,CONDUCTOR,MOTO,MASCULINO,23,1,8,AVENIDA,14,-58.4233693,-34.59774487,MOTO-AUTO,MOTO,AUTO
382,2018-0093,2018-08-20,PEATON,PEATON,MASCULINO,24,1,8,CALLE,1,-58.38691681,-34.63105973,PEATON-PASAJEROS,PEATON,PASAJEROS
383,2018-0094,2018-08-23,CONDUCTOR,MOTO,MASCULINO,32,1,5,CALLE,14,-58.4116902,-34.5857988,MOTO-PASAJEROS,MOTO,PASAJEROS
384,2018-0095,2018-08-26,PASAJERO_ACOMPAÑANTE,AUTO,FEMENINO,49,1,0,AVENIDA,9,-58.46739825,-34.65117757,AUTO-AUTO,AUTO,AUTO
385,2018-0096,2018-08-31,PEATON,PEATON,MASCULINO,39,1,22,AUTOPISTA,8,-58.44483258,-34.67152226,PEATON-AUTO,PEATON,AUTO
386,2018-0097,2018-09-02,CONDUCTOR,AUTO,FEMENINO,35,1,10,AVENIDA,8,-58.43254025,-34.66128115,AUTO-MOVIL,AUTO,OTRO
387,2018-0098,2018-09-09,CONDUCTOR,AUTO,MASCULINO,55,2,5,GRAL PAZ,8,-58.47199387,-34.69640164,AUTO-AUTO,AUTO,AUTO
388,2018-0098,2018-09-09,PASAJERO_ACOMPAÑANTE,AUTO,MASCULINO,54,2,5,GRAL PAZ,8,-58.47199387,-34.69640164,AUTO-AUTO,AUTO,AUTO
389,2018-0099,2018-09-12,PEATON,PEATON,MASCULINO,18,1,14,AVENIDA,7,-58.46411215,-34.62925068,PEATON-PASAJEROS,PEATON,PASAJEROS
390,2018-0100,2018-09-20,SD,MOTO,FEMENINO,33,1,10,AVENIDA,1,-58.36217754,-34.62367156,MOTO-AUTO,MOTO,AUTO
391,2018-0101,2018-09-21,CONDUCTOR,AUTO,MASCULINO,42,1,0,GRAL PAZ,12,-58.48098594,-34.5407313,MULTIPLE,AUTO,MULTIPLE
392,2018-0102,2018-09-21,CONDUCTOR,MOTO,MASCULINO,20,1,0,CALLE,4,-58.41083404,-34.64640709,MOTO-AUTO,MOTO,AUTO
393,2018-0103,2018-09-27,PEATON,PEATON,MASCULINO,1,1,17,AVENIDA,7,-58.44609828,-34.64446729,PEATON-MOTO,PEATON,MOTO
394,2018-0104,2018-10-01,CONDUCTOR,MOTO,MASCULINO,22,1,8,AUTOPISTA,4,-58.37709334,-34.64035082,MOTO-MOTO,MOTO,MOTO
395,2018-0105,2018-10-03,PEATON,PEATON,FEMENINO,56,1,18,AVENIDA,7,-58.46963952,-34.63070603,PEATON-PASAJEROS,PEATON,PASAJEROS
396,2018-0106,2018-10-04,CONDUCTOR,MOTO,MASCULINO,27,1,22,AVENIDA,13,-58.43674281,-34.55161027,MOTO-MOTO,MOTO,MOTO
397,2018-0107,2018-10-06,PEATON,PEATON,FEMENINO,62,1,14,AVENIDA,3,-58.4059686,-34.61011987,PEATON-PASAJEROS,PEATON,PASAJEROS
398,2018-0108,2018-10-09,CONDUCTOR,MOTO,MASCULINO,37,1,14,AVENIDA,1,-58.36154069,-34.60463618,MOTO-AUTO,MOTO,AUTO
399,2018-0109,2018-10-10,PEATON,PEATON,MASCULINO,34,1,22,AVENIDA,1,-58.37062179,-34.60066507,PEATON-PASAJEROS,PEATON,PASAJEROS
400,2018-0110,2018-10-13,PEATON,PEATON,MASCULINO,60,1,3,AVENIDA,15,-58.43220014,-34.60207186,PEATON-MOTO,PEATON,MOTO
401,2018-0111,2018-10-19,CONDUCTOR,MOTO,MASCULINO,28,1,12,AUTOPISTA,9,-58.46958442,-34.64949724,MOTO-CARGAS,MOTO,CARGAS
402,2018-0112,2018-10-24,CONDUCTOR,MOTO,FEMENINO,28,1,9,CALLE,15,-58.44671397,-34.59970903,MOTO-CARGAS,MOTO,CARGAS
403,2018-0113,2018-10-25,CONDUCTOR,MOTO,MASCULINO,20,1,11,CALLE,11,-58.47152163,-34.61474911,MOTO-CARGAS,MOTO,CARGAS
404,2018-0114,2018-10-30,CONDUCTOR,MOTO,MASCULINO,23,1,2,AVENIDA,1,-58.39032921,-34.61807951,MOTO-AUTO,MOTO,AUTO
405,2018-0115,2018-10-31,PEATON,PEATON,MASCULINO,42,1,12,CALLE,9,-58.52887773,-34.64297861,PEATON-PASAJEROS,PEATON,PASAJEROS
406,2018-0116,2018-11-01,PEATON,PEATON,MASCULINO,48,1,10,GRAL PAZ,8,-58.49371157,-34.67981324,PEATON-CARGAS,PEATON,CARGAS
407,2018-0117,2018-11-04,CONDUCTOR,MOTO,MASCULINO,30,1,8,AVENIDA,9,-58.48266599,-34.66012327,MOTO-MOTO,MOTO,MOTO
408,2018-0118,2018-11-05,PEATON,PEATON,FEMENINO,80,1,14,AVENIDA,3,-58.40612253,-34.60774301,PEATON-MOTO,PEATON,MOTO
409,2018-0119,2018-11-05,PEATON,PEATON,FEMENINO,32,1,22,AVENIDA,8,-58.43613623,-34.66292532,PEATON-SD,PEATON,SD
410,2018-0120,2018-11-09,PEATON,PEATON,FEMENINO,51,1,13,AVENIDA,12,-58.48250732,-34.57208238,PEATON-AUTO,PEATON,AUTO
411,2018-0121,2018-11-09,PEATON,PEATON,FEMENINO,72,1,16,AVENIDA,10,-58.49945705,-34.6374328,PEATON-PASAJEROS,PEATON,PASAJEROS
